Type: condition,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,acetate,acetate,acetate,acetate,acetate,acetate,acetate,acetate,acetate,acetate,acetate,acetate
B,acetate,acetate,acetate,acetate,acetate,acetate,acetate,acetate,acetate,acetate,acetate,acetate
C,acetate,acetate,acetate,acetate,acetate,acetate,acetate,acetate,acetate,acetate,acetate,acetate
D,acetate,acetate,acetate,acetate,acetate,acetate,acetate,acetate,acetate,acetate,acetate,acetate
E,acetate,acetate,acetate,acetate,acetate,acetate,acetate,acetate,acetate,acetate,acetate,acetate
F,acetate,acetate,acetate,acetate,acetate,acetate,acetate,acetate,acetate,acetate,acetate,acetate
G,acetate,acetate,acetate,acetate,acetate,acetate,acetate,acetate,acetate,acetate,acetate,acetate
H,acetate,acetate,acetate,acetate,acetate,acetate,acetate,acetate,acetate,acetate,acetate,acetate
,,,,,,,,,,,,
Type: strain,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,MG1655,MG1655,MG1655,MG1655,MG1655,MG1655,MG1655,MG1655,MG1655,MG1655,MG1655,MG1655
B,MG1655,MG1655,MG1655,MG1655,MG1655,MG1655,MG1655,MG1655,MG1655,MG1655,MG1655,MG1655
C,MG1655,MG1655,MG1655,MG1655,MG1655,MG1655,MG1655,MG1655,MG1655,MG1655,MG1655,MG1655
D,MG1655,MG1655,MG1655,MG1655,MG1655,MG1655,MG1655,MG1655,MG1655,MG1655,MG1655,MG1655
E,MG1655,MG1655,MG1655,MG1655,MG1655,MG1655,MG1655,MG1655,MG1655,MG1655,MG1655,MG1655
F,MG1655,MG1655,MG1655,MG1655,MG1655,MG1655,MG1655,MG1655,MG1655,MG1655,MG1655,MG1655
G,MG1655,MG1655,MG1655,MG1655,MG1655,MG1655,MG1655,MG1655,MG1655,MG1655,MG1655,MG1655
H,MG1655,MG1655,MG1655,MG1655,MG1655,MG1655,MG1655,MG1655,MG1655,MG1655,MG1655,MG1655
